MTgenes,G2Mgenes,Sgenes,RMgenes
mt-Atp6,Hmgb2,Mcm5,
mt-Atp8,Cdk1,Pcna,
mt-Co1,Nusap1,Tyms,
mt-Co2,Ube2c,Fen1,
mt-Co3,Birc5,Mcm7,
mt-Cytb,Tpx2,Mcm4,
mt-Nd1,Top2a,Rrm1,
mt-Nd2,Ndc80,Ung,
mt-Nd3,Cks2,Gins2,
mt-Nd4,Nuf2,Mcm6,
mt-Nd4l,Cks1b,Cdca7,
mt-Nd5,Mki67,Dtl,
mt-Nd6,Tmpo,Prim1,
mt-Rnr1,Cenpf,Uhrf1,
mt-Rnr2,Tacc3,Cenpu,
mt-Ta,Pimreg,Hells,
mt-Tc,Smc4,Rfc2,
mt-Td,Ccnb2,Polr1b,
mt-Te,Ckap2l,Nasp,
mt-Tf,Ckap2,Rad51ap1,
mt-Tg,Aurkb,Gmnn,
mt-Th,Bub1,Wdr76,
mt-Ti,Kif11,Slbp,
mt-Tk,Anp32e,Ccne2,
mt-Tl1,Tubb4b,Ubr7,
mt-Tl2,Gtse1,Msh2,
mt-Tm,Kif20b,Rad51,
mt-Tn,Hjurp,Rrm2,
mt-Tp,Cdca3,Cdc45,
mt-Tq,Jpt1,Cdc6,
mt-Tr,Cdc20,Exo1,
mt-Ts1,Ttk,Tipin,
mt-Ts2,Cdc25c,Dscc1,
mt-Tt,Kif2c,Blm,
mt-Tv,Rangap1,Casp8ap2,
mt-Tw,Ncapd2,Usp1,
mt-Ty,Dlgap5,Clspn,
,Cdca2,Pola1,
,Cdca8,Chaf1b,
,Ect2,Mrpl36,
,Kif23,E2f8,
,Hmmr,,
,Aurka,,
,Psrc1,,
,Anln,,
,Lbr,,
,Ckap5,,
,Cenpe,,
,Ctcf,,
,Nek2,,
,G2e3,,
,Gas2l3,,
,Cbx5,,
,Cenpa,,