id,kidney,spleen,lungs,all
Old_O1_kidney_88w_rep1,true,false,false,true
Old_O1_lung_88w_rep1,false,false,true,true
Old_O1_lung_88w_rep2,false,false,true,true
Old_O1_spleen_88w_rep1,false,true,false,true
Old_O1_spleen_88w_rep2,false,true,false,true
Old_O2_kidney_91w_rep1,true,false,false,true
Old_O2_kidney_91w_rep2,true,false,false,true
Old_O2_lung_91w_rep1,false,false,true,true
Old_O2_lung_91w_rep2,false,false,true,true
Old_O2_spleen_91w_rep1,false,true,false,true
Old_O2_spleen_91w_rep2,false,true,false,true
Old_O3_kidney_93w_rep1,true,false,false,true
Old_O3_lung_93w_rep1,false,false,true,true
Old_O3_spleen_93w_rep1,false,true,false,true
Old_O3_spleen_93w_rep2,false,true,false,true
Young_Y1_kidney_29w_rep1,true,false,false,true
Young_Y1_kidney_29w_rep2,true,false,false,true
Young_Y1_spleen_29w_rep1,false,true,false,true
Young_Y3_kidney_31w_rep1,true,false,false,true
Young_Y3_kidney_31w_rep2,true,false,false,true
Young_Y3_lung_31w_rep1,false,false,true,true
Young_Y3_lung_31w_rep2,false,false,true,true
Young_Y3_spleen_31w_rep1,false,true,false,true
Young_Y3_spleen_31w_rep2,false,true,false,true
Young_Y4_kidney_34w_rep1,true,false,false,true
Young_Y4_kidney_34w_rep2,true,false,false,true
Young_Y4_lung_34w_rep1,false,false,true,true
Young_Y4_lung_34w_rep2,false,false,true,true
Young_Y4_spleen_34w_rep1,false,true,false,true
Young_Y4_spleen_34w_rep2,false,true,false,true
Young_Y5_kidney_34w_rep1,true,false,false,true
Young_Y5_kidney_34w_rep2,true,false,false,true
Young_Y5_lung_34w_rep1,false,false,true,true
Young_Y5_lung_34w_rep2,false,false,true,true
Young_Y5_spleen_34w_rep1,false,true,false,true
Young_Y5_spleen_34w_rep2,false,true,false,true